address	value
10024f5c	GetTickCount
10024f6c	GetSystemTimeAsFileTime
10024f86	GetStringTypeA
10024f98	GetStringTypeW
10024faa	GetConsoleCP
10024fba	GetConsoleMode
10024fcc	SetStdHandle
10024fdc	WriteConsoleA
10024fec	GetConsoleOutputCP
10025002	WriteConsoleW
10025042	CNCISCO.dll
1002504e	Coinstaller_EntryPoint
1002600c	.PAVCMemoryException@@
1002602c	.PAVCSimpleException@@
1002604c	.PAVCException@@
10026068	.PAVCObject@@
10026080	.PAX
10026090	.PAVCInvalidArgException@@
100260b4	.?AVCMemoryException@@
100260d4	.?AVCSimpleException@@
100260f4	.?AVCException@@
10026110	.?AVCObject@@
10026128	.?AVCNotSupportedException@@
10026150	.?AVCInvalidArgException@@
10026340	.?AVCOleException@@
1002635c	.PAVCOleException@@
10026378	.?AVCAfxStringMgr@@
10026394	.?AUIAtlStringMgr@ATL@@
100263b4	.?AV_AFX_THREAD_STATE@@
100263d4	.?AVCNoTrackObject@@
100263f4	.?AVAFX_MODULE_THREAD_STATE@@
1002641c	.?AVAFX_MODULE_STATE@@
1002643c	.?AVCDllIsolationWrapperBase@@
10026464	.?AVCComCtlWrapper@@
10026484	.?AVCCommDlgWrapper@@
100264a4	.?AV_AFX_BASE_MODULE_STATE@@
100264cc	.?AUCThreadData@@
100264e8	.?AVCCmdTarget@@
10026504	.?AVCHandleMap@@
10026520	.?AUIUnknown@@
10026538	.PAVCArchiveException@@
10026558	.?AVCArchiveException@@
10026578	.?AVCMapPtrToPtr@@
100265a0	.?AVCCmdUI@@
10026654	.?AVXAccessible@CWnd@@
10026674	.?AVXAccessibleServer@CWnd@@
1002669c	.?AVCWnd@@
100266b0	.?AVCTestCmdUI@@
100266cc	.?AV_AFX_HTMLHELP_STATE@@
100266f0	.PAVCUserException@@
10026710	.?AV?$IAccessibleProxyImpl@VCAccessibleProxy@ATL@@@ATL@@
10026754	.?AUIAccessible@@
10026770	.?AUIDispatch@@
10026788	.?AUIAccessibleProxy@@
100267a8	.?AV?$CMFCComObject@VCAccessibleProxy@ATL@@@@
100267e0	.?AVCAccessibleProxy@ATL@@
10026808	.?AV?$CComObjectRootEx@VCComSingleThreadModel@ATL@@@ATL@@
1002684c	.?AVCComObjectRootBase@ATL@@
10026874	.?AUIOleWindow@@
10026890	.?AVCResourceException@@
100268b4	.?AVCUserException@@
100268d4	.?AVCGdiObject@@
100268f0	.?AVCDC@@
10026920	.?AVCByteArray@@
1002693c	.?AVCMenu@@
1002695c	.?AVtype_info@@
10026e4e	abcdefghijklmnopqrstuvwxyz
10026e6e	ABCDEFGHIJKLMNOPQRSTUVWXYZ
10027059	abcdefghijklmnopqrstuvwxyz
10027079	ABCDEFGHIJKLMNOPQRSTUVWXYZ
100273ec	.?AVbad_exception@std@@
1002740c	.?AVexception@std@@
10027d5c	.?AVCMyWia@@
1002c102	StringFileInfo
1002c126	040904b0
1002c13e	CompanyName
1002c158	Canon Inc.
1002c176	FileDescription
1002c198	Canon WIA scanner co-installer.
1002c1de	FileVersion
1002c206	LegalCopyright
1002c224	Copyright (C) 2007 Canon Inc.
1002c266	OriginalFilename
1002c288	cncisco.dll
1002c2a6	ProductName
1002c2c0	Canon ScanGear series.
1002c2f6	ProductVersion
1002c322	VarFileInfo
1002c342	Translation
1002c360	<assembly xmlns="urn:schemas-microsoft-com:asm.v1" manifestVersion="1.0">\r\n</assembly>PAPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGX
ffdfff50	00000000-0000-0000-0000-000000000000
